"Physical Time: Physical Time (s)","Inlet1RH Monitor: Surface Average of RH","Inlet1T Monitor: Surface Average of Temperature (C)","RH1 Monitor: Sum of RH","RH10 Monitor: Sum of RH","RH2 Monitor: Sum of RH","RH3 Monitor: Sum of RH","RH4 Monitor: Sum of RH","RH5 Monitor: Sum of RH","RH6 Monitor: Sum of RH","RH7 Monitor: Sum of RH","RH8 Monitor: Sum of RH","RH9 Monitor: Sum of RH","T1 Monitor: Sum of Temperature (C)","T10 Monitor: Sum of Temperature (C)","T2 Monitor: Sum of Temperature (C)","T3 Monitor: Sum of Temperature (C)","T4 Monitor: Sum of Temperature (C)","T5 Monitor: Sum of Temperature (C)","T6 Monitor: Sum of Temperature (C)","T7 Monitor: Sum of Temperature (C)","T8 Monitor: Sum of Temperature (C)","T9 Monitor: Sum of Temperature (C)","velocity Monitor: Surface Average of Velocity: Magnitude (m/s)","wall Monitor: Surface Average of Temperature (C)"
3968400,42.4372358583072,29,46.4695300089484,45.3965469337591,46.1366651454331,46.3448334620323,46.931840158321,47.0169870857384,47.069048418252,46.2558141573319,47.2249485178583,47.0809757539421,25.6647130633941,26.3010191885333,25.9446147665282,25.8138376363456,25.5489707334909,25.3971799956831,25.4663590874327,25.9117396620259,25.0597669577229,25.4614312226786,0.2,23.8999999999999
3969000,42.4372358379714,29,46.0669239066717,45.2934638921519,45.7371662474111,45.7961731462991,46.7611124533591,47.0069264297242,46.8751741422523,45.6380354296227,47.5140797828086,47.3499293428544,26.4541871331182,26.9217558291645,26.6279284516796,26.5956488820854,26.2565843030666,26.0478711006627,26.1816384581195,26.7139299207614,25.52329447419,25.9176751476375,0.2,23.8999999999999
3969600,42.4372358345692,29,45.9012932258891,45.3729371610123,45.846400728766,45.6896144491564,46.7125094659788,47.1993845303171,46.8785771235193,45.5007819641192,48.025670251896,47.9183666310396,26.9242278792218,27.2382837505888,26.9507666879761,27.0069169383655,26.665820238413,26.4108055972904,26.5838590475889,27.1154845721414,25.8268247629561,26.0946465365715,0.2,23.8999999999999
3970200,42.4372358502467,29,45.8227026515397,45.3925975380455,45.8974064556309,45.7160651828807,46.7808538078136,47.4192433879182,46.897095808999,45.5375852572584,48.4173432395863,48.3063668545487,27.208914423412,27.4470120690438,27.1801426874015,27.2428187709203,26.8822305123741,26.6032237362302,26.8261868593671,27.3339318834438,26.0396222894706,26.2234175008026,0.2,23.8999999999999
3970800,42.437235854996,29,45.8340986816538,45.4367182717918,45.9079903723764,45.7909558111384,46.8873583313643,47.6188810022138,46.9694310601303,45.6011070728196,48.7100345583572,48.5577020818822,27.3684717713027,27.5688190953749,27.3407099806867,27.3767919242626,26.9983704372906,26.704504836433,26.959102882343,27.4652341778198,26.176222931703,26.3214522525439,0.2,23.8999999999999
3971400,42.4372358645371,29,45.8845015209703,45.4978800835968,45.9271451959783,45.8785135794356,46.9571666653322,47.7547190172795,47.0313975681001,45.6518450068361,48.9146930730424,48.6674384507098,27.455727223944,27.63440221166,27.4403411734255,27.4507851636119,27.0725094775285,26.7665452025492,27.0397425055003,27.54876333573,26.2629421698365,26.4097396732673,0.2,23.8999999999999
3972000,42.4372358732246,29,45.9236369534291,45.5382478233549,45.9434206354112,45.9341004303862,46.9535353647773,47.7872256691317,47.0558270909764,45.6849773230169,49.0292125327897,48.6540730214951,27.5100509870966,27.67649974318,27.5030838294152,27.5009703426234,27.1383276321216,26.8264906732247,27.0975315282874,27.603583817463,26.3270459933256,26.4981810055402,0.2,23.9999999999999
3972600,42.4372358653414,29,45.9830306048647,45.5801126569769,45.9686533640079,45.9767366314765,46.9307919216631,47.792059948701,47.0960975884897,45.7352564329902,49.099815818358,48.6352589180549,27.5332047397363,27.6981990905928,27.5386171385945,27.5320345020865,27.1893278930546,26.8714909169174,27.1266373556683,27.6285880588842,26.371101214918,26.5593494230474,0.2,23.9999999999999
3973200,42.4372358570609,29,46.0484332487987,45.6226122013469,45.9769538220861,46.0017371666307,46.9265047707692,47.7700942362715,47.1248554621199,45.786849631616,49.160157942347,48.6714125863713,27.538573158321,27.7066838856147,27.5652702088108,27.5536711011383,27.2188604033742,26.9100337438683,27.1450589680504,27.6379090870497,26.3953021480921,26.582221835988,0.2,23.9999999999999
3973800,42.4372358584103,29,46.1113060362808,45.6604435908088,45.9613671873309,46.0026190321318,46.933637956699,47.7405981016134,47.1673710612067,45.8266187314232,49.2210760022828,48.7506031812974,27.5347081003626,27.7086415177288,27.5908650320709,27.5737584417134,27.2346429227832,26.9407648802881,27.1486383502115,27.6418572290012,26.4039664082225,26.5779521537913,0.2,23.9999999999999
3974400,42.4372358481886,29,46.1548835259641,45.6905023401281,45.9223457273422,45.9819780612908,46.9299156803337,47.692314083452,47.2032405076313,45.853286208846,49.2717323669186,48.843397553887,27.5314166889654,27.7081521789442,27.618440377235,27.5949161347345,27.2482243092163,26.9713686441521,27.1482376794062,27.6442809510053,26.4060771098213,26.5611292660063,0.2,23.9999999999999
3975000,42.4372358576279,29,46.1700350017678,45.7041609780281,45.8897203000369,45.9555883742922,46.9381597005163,47.630231455593,47.2203452447718,45.8652839198949,49.3050117836492,48.9087191100907,27.5342673487303,27.7102131570515,27.6390448229736,27.613548928778,27.2532242625318,27.0023506478101,27.150375160834,27.6479638713906,26.4074352437094,26.5487461755405,0.2,23.9999999999999
3975600,51.313511730484,15,48.1035389563203,50.8099923583851,49.425119308121,48.5035142688925,48.2652838663317,49.1190774860272,48.0952444763643,48.3873182632678,50.6977822311652,50.5909861298493,24.4138382975111,22.5491472885026,23.1099262140015,23.7005931597701,24.0920368187937,24.1727593612282,24.4174180712112,23.6780208848152,24.5556510353942,23.6263904080614,0.2,24.4999999999999
3976200,51.3135117199338,15,48.5578162948953,50.2765237702015,50.0624262376069,49.7378039255144,48.2497645204582,48.6253389636769,47.9285451497637,49.5896118905304,49.5300154950277,49.25890039063,21.7103348478208,20.2933703887762,20.7492211092982,21.020226161081,21.5374050085521,21.8055671725257,21.900780960054,20.9058217142562,22.9245516582425,21.891840518915,0.2,24.4999999999999
3976800,51.3135117301652,15,48.2871440583076,48.8472398872546,48.9552794794278,49.1983394568151,47.212253344395,47.260191108917,46.972288045404,49.2349983911554,47.3598760168798,46.8841548519608,19.9165103778936,19.110941205832,19.5050127239683,19.5422946647683,20.0941919787126,20.3551726387906,20.3366591660196,19.3797266009707,21.7083844170854,20.9363672730638,0.2,24.4999999999999
